#GLU170-4  Hist_01810
     -180 0.071382000
     -174 0.054210000
     -168 0.035140000
     -162 0.019724000
     -156 0.009850000
     -150 0.005056000
     -144 0.002964000
     -138 0.001930000
     -132 0.001716000
     -126 0.001810000
     -120 0.002184000
     -114 0.003198000
     -108 0.005158000
     -102 0.009050000
      -96 0.015528000
      -90 0.023212000
      -84 0.029922000
      -78 0.032380000
      -72 0.032058000
      -66 0.029124000
      -60 0.022724000
      -54 0.015398000
      -48 0.008514000
      -42 0.003838000
      -36 0.001602000
      -30 0.000522000
      -24 0.000172000
      -18 0.000060000
      -12 0.000016000
       -6 0.000008000
        0 0.000004000
        6 0.000002000
       12 0.000018000
       18 0.000036000
       24 0.000144000
       30 0.000534000
       36 0.001814000
       42 0.005156000
       48 0.012524000
       54 0.022554000
       60 0.030400000
       66 0.032018000
       72 0.027240000
       78 0.019154000
       84 0.010350000
       90 0.005048000
       96 0.002342000
      102 0.001300000
      108 0.000806000
      114 0.000708000
      120 0.000686000
      126 0.001072000
      132 0.002180000
      138 0.005762000
      144 0.014984000
      150 0.033696000
      156 0.061016000
      162 0.086986000
      168 0.095976000
      174 0.087040000
