#ARG156-1  Hist_01630
     -180 0.001676000
     -174 0.000320000
     -168 0.000054000
     -162 0.000012000
     -156 0.000002000
     -150 0.000000000
     -144 0.000002000
     -138 0.000000000
     -132 0.000002000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000002000
       84 0.000020000
       90 0.000042000
       96 0.000230000
      102 0.000896000
      108 0.003124000
      114 0.010998000
      120 0.032202000
      126 0.078310000
      132 0.148896000
      138 0.214426000
      144 0.218214000
      150 0.155428000
      156 0.080194000
      162 0.034260000
      168 0.014754000
      174 0.005936000
