#GLY144-0  Hist_01508
     -180 0.000052000
     -174 0.000066000
     -168 0.000090000
     -162 0.000122000
     -156 0.000168000
     -150 0.000234000
     -144 0.000296000
     -138 0.000296000
     -132 0.000422000
     -126 0.000548000
     -120 0.000672000
     -114 0.000774000
     -108 0.000930000
     -102 0.000984000
      -96 0.001008000
      -90 0.000792000
      -84 0.000530000
      -78 0.000312000
      -72 0.000164000
      -66 0.000076000
      -60 0.000018000
      -54 0.000004000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000002000
       12 0.000002000
       18 0.000008000
       24 0.000068000
       30 0.000406000
       36 0.002012000
       42 0.008722000
       48 0.029664000
       54 0.076828000
       60 0.148282000
       66 0.205466000
       72 0.205256000
       78 0.152964000
       84 0.087738000
       90 0.042490000
       96 0.018260000
      102 0.007398000
      108 0.003092000
      114 0.001346000
      120 0.000612000
      126 0.000346000
      132 0.000144000
      138 0.000094000
      144 0.000068000
      150 0.000044000
      156 0.000042000
      162 0.000024000
      168 0.000020000
      174 0.000044000
