#ASN190-0  Hist_02012
     -180 0.000000000
     -174 0.000002000
     -168 0.000000000
     -162 0.000006000
     -156 0.000008000
     -150 0.000040000
     -144 0.000132000
     -138 0.000336000
     -132 0.000816000
     -126 0.002108000
     -120 0.004766000
     -114 0.010060000
     -108 0.021228000
     -102 0.041590000
      -96 0.076022000
      -90 0.128040000
      -84 0.182712000
      -78 0.204442000
      -72 0.170318000
      -66 0.100556000
      -60 0.041344000
      -54 0.012216000
      -48 0.002682000
      -42 0.000462000
      -36 0.000094000
      -30 0.000018000
      -24 0.000002000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
