#hocc     Hist_00002
    -180 0.000370000
    -174 0.000280000
    -168 0.000140000
    -162 0.000093333
    -156 0.000020000
    -150 0.000016667
    -144 0.000016667
    -138 0.000006667
    -132 0.000026667
    -126 0.000030000
    -120 0.000020000
    -114 0.000023333
    -108 0.000093333
    -102 0.000230000
     -96 0.000800000
     -90 0.003563333
     -84 0.013153333
     -78 0.037723333
     -72 0.086000000
     -66 0.145010000
     -60 0.186366667
     -54 0.180436667
     -48 0.138103333
     -42 0.085760000
     -36 0.046156667
     -30 0.022393333
     -24 0.010800000
     -18 0.004740000
     -12 0.002106667
      -6 0.001073333
       0 0.000560000
       6 0.000260000
      12 0.000206667
      18 0.000113333
      24 0.000063333
      30 0.000106667
      36 0.000140000
      42 0.000193333
      48 0.000346667
      54 0.000606667
      60 0.001160000
      66 0.002250000
      72 0.003653333
      78 0.004863333
      84 0.005243333
      90 0.004163333
      96 0.003083333
     102 0.001926667
     108 0.001016667
     114 0.000600000
     120 0.000443333
     126 0.000260000
     132 0.000210000
     138 0.000216667
     144 0.000210000
     150 0.000326667
     156 0.000490000
     162 0.000603333
     168 0.000620000
     174 0.000510000
