#hocc     Hist_00002
    -180 0.000030000
    -174 0.000010000
    -168 0.000010000
    -162 0.000000000
    -156 0.000010000
    -150 0.000010000
    -144 0.000000000
    -138 0.000000000
    -132 0.000000000
    -126 0.000020000
    -120 0.000030000
    -114 0.000040000
    -108 0.000120000
    -102 0.000210000
     -96 0.000760000
     -90 0.003580000
     -84 0.013850000
     -78 0.037750000
     -72 0.086720000
     -66 0.148040000
     -60 0.191690000
     -54 0.187570000
     -48 0.144540000
     -42 0.089420000
     -36 0.048130000
     -30 0.023070000
     -24 0.010990000
     -18 0.005160000
     -12 0.002100000
      -6 0.001140000
       0 0.000560000
       6 0.000240000
      12 0.000220000
      18 0.000090000
      24 0.000060000
      30 0.000040000
      36 0.000060000
      42 0.000140000
      48 0.000190000
      54 0.000140000
      60 0.000320000
      66 0.000460000
      72 0.000470000
      78 0.000560000
      84 0.000390000
      90 0.000320000
      96 0.000260000
     102 0.000150000
     108 0.000050000
     114 0.000040000
     120 0.000030000
     126 0.000010000
     132 0.000020000
     138 0.000030000
     144 0.000020000
     150 0.000020000
     156 0.000030000
     162 0.000020000
     168 0.000020000
     174 0.000040000
