#hocc     Hist_00002
    -180 0.000277500
    -174 0.000210000
    -168 0.000105000
    -162 0.000070000
    -156 0.000015000
    -150 0.000012500
    -144 0.000012500
    -138 0.000005000
    -132 0.000020000
    -126 0.000022500
    -120 0.000015000
    -114 0.000020000
    -108 0.000077500
    -102 0.000232500
     -96 0.000827500
     -90 0.003577500
     -84 0.013142500
     -78 0.038170000
     -72 0.087297500
     -66 0.146875000
     -60 0.188280000
     -54 0.182360000
     -48 0.138800000
     -42 0.086242500
     -36 0.046392500
     -30 0.022180000
     -24 0.010582500
     -18 0.004607500
     -12 0.001992500
      -6 0.001037500
       0 0.000517500
       6 0.000237500
      12 0.000177500
      18 0.000097500
      24 0.000060000
      30 0.000100000
      36 0.000130000
      42 0.000165000
      48 0.000305000
      54 0.000507500
      60 0.000915000
      66 0.001765000
      72 0.002785000
      78 0.003700000
      84 0.003970000
      90 0.003172500
      96 0.002327500
     102 0.001465000
     108 0.000767500
     114 0.000450000
     120 0.000332500
     126 0.000195000
     132 0.000160000
     138 0.000162500
     144 0.000157500
     150 0.000247500
     156 0.000367500
     162 0.000455000
     168 0.000465000
     174 0.000382500
