#hocc     Hist_00001
-180.000 0.000050000
-174.000 0.000070000
-168.000 0.000060000
-162.000 0.000020000
-156.000 0.000015000
-150.000 0.000015000
-144.000 0.000020000
-138.000 0.000010000
-132.000 0.000040000
-126.000 0.000045000
-120.000 0.000030000
-114.000 0.000035000
-108.000 0.000105000
-102.000 0.000215000
 -96.000 0.000845000
 -90.000 0.003755000
 -84.000 0.013085000
 -78.000 0.036825000
 -72.000 0.083795000
 -66.000 0.141605000
 -60.000 0.182640000
 -54.000 0.178615000
 -48.000 0.137370000
 -42.000 0.085235000
 -36.000 0.046075000
 -30.000 0.022530000
 -24.000 0.010940000
 -18.000 0.004835000
 -12.000 0.002160000
  -6.000 0.001135000
   0.000 0.000585000
   6.000 0.000270000
  12.000 0.000250000
  18.000 0.000120000
  24.000 0.000085000
  30.000 0.000145000
  36.000 0.000205000
  42.000 0.000285000
  48.000 0.000520000
  54.000 0.000905000
  60.000 0.001730000
  66.000 0.003375000
  72.000 0.005475000
  78.000 0.007295000
  84.000 0.007860000
  90.000 0.006245000
  96.000 0.004625000
 102.000 0.002890000
 108.000 0.001525000
 114.000 0.000880000
 120.000 0.000660000
 126.000 0.000375000
 132.000 0.000265000
 138.000 0.000260000
 144.000 0.000220000
 150.000 0.000205000
 156.000 0.000200000
 162.000 0.000170000
 168.000 0.000110000
 174.000 0.000090000
